user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
WM11_S6_MAGScoT_cleanbin_000007	d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__Kapaibacteriales;f__UBA2268;g__JAPLFM01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__Kapaibacteriales;f__UBA2268;g__JAPLFM01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	97.2	11	0.8595	N/A
WM11_S6_MAGScoT_cleanbin_000008	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__LD1;g__Bog-950;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__LD1;g__Bog-950;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.51	11	0.95395	N/A
WM11_S6_MAGScoT_cleanbin_000009	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	N/A	N/A	N/A	N/A	N/A	GCA_963205005.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium sp963205005	90.02	0.579	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	95.59	11	0.99597	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WM11_S6_MAGScoT_cleanbin_000010	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Palsa-965;f__Palsa-965;g__GCA-2737665;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Palsa-965;f__Palsa-965;g__GCA-2737665;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.59	11	0.95688	N/A
WM11_S6_MAGScoT_cleanbin_000011	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.49	11	0.9625	N/A
WM11_S6_MAGScoT_cleanbin_000012	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UKL13-3;g__UKL13-3;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UKL13-3;g__UKL13-3;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.1	11	0.97084	N/A
WM11_S6_MAGScoT_cleanbin_000013	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12;f__CAIYMF01;g__WLRQ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12;f__CAIYMF01;g__WLRQ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.04	11	0.91796	N/A
WM11_S6_MAGScoT_cleanbin_000014	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_030157685.1, s__Ferruginibacter sp030157685, 95.0, 87.9, 0.338; GCA_016715365.1, s__Ferruginibacter sp016715365, 95.0, 85.87, 0.292; GCA_016710935.1, s__Ferruginibacter sp016710935, 95.0, 84.36, 0.243	92.87	11	0.9836	N/A
WM11_S6_MAGScoT_cleanbin_000015	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_947474005.1, s__Reyranella sp947474005, 95.0, 93.31, 0.712; GCA_945903635.1, s__Reyranella sp945903635, 95.0, 90.98, 0.558; GCA_030679805.1, s__Reyranella sp030679805, 95.0, 89.88, 0.46; GCA_029946105.1, s__Reyranella sp029946105, 95.0, 88.43, 0.503; GCA_030681635.1, s__Reyranella sp030681635, 95.0, 88.15, 0.299; GCA_010032545.1, s__Reyranella sp010032545, 95.0, 86.91, 0.338; GCA_945862125.1, s__Reyranella massiliensis_A, 95.0, 86.72, 0.344; GCA_945860205.1, s__Reyranella massiliensis_B, 95.0, 86.57, 0.384; GCA_016191685.1, s__Reyranella sp016191685, 95.0, 86.41, 0.304; GCF_004296935.1, s__Reyranella sp004296935, 95.0, 86.38, 0.371; GCA_001767945.1, s__Reyranella sp001767945, 95.0, 86.03, 0.302; GCA_030684475.1, s__Reyranella sp030684475, 95.0, 85.96, 0.249; GCA_004296815.1, s__Reyranella sp004296815, 95.0, 85.47, 0.173; GCA_019745575.1, s__Reyranella sp019745575, 95.0, 84.93, 0.225; GCA_937919085.1, s__Reyranella sp937919085, 95.0, 84.55, 0.193; GCA_937915145.1, s__Reyranella sp937915145, 95.0, 83.83, 0.183; GCF_019039055.1, s__Reyranella sp019039055, 95.0, 83.26, 0.154; GCF_020880995.1, s__Reyranella aquatilis, 95.0, 83.05, 0.151	90.8	11	0.9894	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WM11_S6_MAGScoT_cleanbin_000016	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	N/A	N/A	N/A	N/A	N/A	GCF_016185115.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas sp016185115	88.35	0.475	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	91.44	11	0.99257	N/A
WM11_S6_MAGScoT_cleanbin_000017	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_013004105.1, s__Gemmatimonas groenlandica, 95.0, 88.4, 0.514; GCA_945870175.1, s__Gemmatimonas phototrophica_A, 95.0, 87.1, 0.279; GCA_903894655.1, s__Gemmatimonas sp903894655, 95.0, 86.82, 0.214; GCA_947457715.1, s__Gemmatimonas sp947457715, 95.0, 86.33, 0.201; GCA_947461225.1, s__Gemmatimonas sp947461225, 95.0, 86.2, 0.299; GCA_903900795.1, s__Gemmatimonas sp903900795, 95.0, 85.68, 0.218; GCA_002737115.1, s__Gemmatimonas sp002737115, 95.0, 85.16, 0.274; GCA_947462095.1, s__Gemmatimonas sp947462095, 95.0, 84.73, 0.244	88.28	11	0.98143	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WM11_S6_MAGScoT_cleanbin_000018	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_015660815.1, s__Planktophila sp015660815, 95.0, 87.16, 0.561; GCA_030649935.1, s__Planktophila sp030649935, 95.0, 86.87, 0.447; GCA_030681675.1, s__Planktophila sp030681675, 95.0, 86.64, 0.475	85.04	11	0.98936	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 10.0% of markers with multiple hits
WM11_S6_MAGScoT_cleanbin_000019	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA2475;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA2475;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_013816615.1, s__UBA2475 sp013816615, 95.0, 84.99, 0.219; GCA_016787705.1, s__UBA2475 sp016787705, 95.0, 84.59, 0.217	85.58	11	0.98458	N/A
WM11_S6_MAGScoT_cleanbin_000020	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	N/A	N/A	N/A	N/A	N/A	GCA_902826195.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp902826195	93.71	0.597	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_030413175.1, s__Bradyrhizobium sp030413175, 95.0, 90.24, 0.558; GCF_018130385.1, s__Bradyrhizobium sp018130385, 95.0, 86.7, 0.317; GCF_023101085.1, s__Bradyrhizobium sp023101085, 95.0, 86.54, 0.295; GCF_018596315.1, s__Bradyrhizobium sp018596315, 95.0, 86.47, 0.289; GCA_013822885.1, s__Bradyrhizobium sp013822885, 95.0, 86.43, 0.192; GCA_029946075.1, s__Bradyrhizobium sp029946075, 95.0, 86.26, 0.182; GCF_003062295.1, s__Bradyrhizobium algeriense, 95.0, 86.06, 0.288; GCF_023073415.1, s__Bradyrhizobium sp023073415, 95.0, 85.98, 0.279; GCF_023100945.1, s__Bradyrhizobium sp023100945, 95.0, 85.8, 0.272; GCF_001440475.1, s__Bradyrhizobium lablabi, 95.0, 85.52, 0.246; GCF_001440395.1, s__Bradyrhizobium jicamae, 95.0, 85.36, 0.24; GCF_009930815.1, s__Bradyrhizobium sp009930815, 95.0, 85.23, 0.235; GCF_029051645.1, s__Bradyrhizobium sp029051645, 95.0, 85.18, 0.229; GCF_001693515.2, s__Bradyrhizobium paxllaeri, 95.0, 85.17, 0.243; GCF_001440405.1, s__Bradyrhizobium valentinum, 95.0, 85.12, 0.213; GCF_029714305.1, s__Bradyrhizobium sp029714305, 95.0, 84.81, 0.225; GCF_001693385.1, s__Bradyrhizobium icense, 95.0, 84.78, 0.213; GCA_023387735.1, s__Bradyrhizobium sp023387735, 95.0, 84.77, 0.276; GCA_023422775.1, s__Bradyrhizobium sp023422775, 95.0, 84.73, 0.264; GCF_001440415.1, s__Bradyrhizobium retamae, 95.0, 84.73, 0.207; GCF_018398875.1, s__Bradyrhizobium sp018398875, 95.0, 84.73, 0.202; GCF_018398895.1, s__Bradyrhizobium sp018398895, 95.0, 84.71, 0.199; GCF_000472965.1, s__Bradyrhizobium murdochi, 95.0, 84.67, 0.211; GCF_001693485.1, s__Bradyrhizobium sp001693485, 95.0, 84.66, 0.221; GCF_013114835.1, s__Bradyrhizobium archetypum, 95.0, 84.59, 0.226; GCF_013114825.1, s__Bradyrhizobium australiense, 95.0, 84.54, 0.223; GCF_020329435.1, s__Bradyrhizobium hereditatis, 95.0, 84.22, 0.193; GCF_005937885.2, s__Bradyrhizobium sp005937885, 95.0, 83.59, 0.154; GCA_017305715.1, s__Bradyrhizobium sp017305715, 95.0, 83.28, 0.153; GCF_022844465.1, s__Bradyrhizobium sp022844465, 95.0, 82.96, 0.202	76.74	11	0.99553	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 20.0% of markers with multiple hits
WM11_S6_MAGScoT_cleanbin_000021	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__CAMAVL01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__CAMAVL01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	82.84	11	0.91778	N/A
WM11_S6_MAGScoT_cleanbin_000022	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__UBA1547;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__UBA1547;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	74.16	11	0.96042	N/A
WM11_S6_MAGScoT_cleanbin_000023	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_030646015.1, s__Bradyrhizobium sp030646015, 95.0, 90.06, 0.485; GCF_030654605.1, s__Bradyrhizobium sp030654605, 95.0, 89.47, 0.466; GCF_030693485.1, s__Bradyrhizobium sp030693485, 95.0, 89.17, 0.453; GCF_030697065.1, s__Bradyrhizobium sp030697065, 95.0, 88.17, 0.413; GCA_030681365.1, s__Bradyrhizobium sp030681365, 95.0, 88.1, 0.366; GCA_001464035.1, s__Bradyrhizobium sp001464035, 95.0, 86.27, 0.328; GCF_018736105.1, s__Bradyrhizobium sp018736105, 95.0, 85.43, 0.249; GCF_018736085.1, s__Bradyrhizobium sediminis, 95.0, 84.85, 0.251	75.23	11	0.99496	N/A
WM11_S6_MAGScoT_cleanbin_000024	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__SHUY01;s__SHUY01 sp009694435	GCA_009694435.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__SHUY01;s__SHUY01 sp009694435	97.25	0.895	GCA_009694435.1	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__SHUY01;s__SHUY01 sp009694435	97.25	0.895	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	68.74	11	N/A	N/A
WM11_S6_MAGScoT_cleanbin_000025	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__GWA2-66-18;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__GWA2-66-18;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	70.61	11	0.97801	N/A
WM11_S6_MAGScoT_cleanbin_000026	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	65.58	11	0.94712	N/A
WM11_S6_MAGScoT_cleanbin_000027	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	66.45	11	0.98461	N/A
WM11_S6_MAGScoT_cleanbin_000029	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	61.11	11	0.92727	N/A
WM11_S6_MAGScoT_cleanbin_000030	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp016462445	GCA_016462445.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp016462445	98.91	0.933	GCA_016462445.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp016462445	98.91	0.933	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_947486485.1, s__Nanopelagicus sp947486485, 95.0, 94.81, 0.713; GCA_000378865.1, s__Nanopelagicus sp000378865, 95.0, 91.59, 0.41	57.06	11	N/A	N/A
WM11_S6_MAGScoT_cleanbin_000031	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA1113;f__UBA1113;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA1113;f__UBA1113;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	58.21	11	0.79191	N/A
WM11_S6_MAGScoT_cleanbin_000032	d__Bacteria;p__Bdellovibrionota;c__FAC87;o__UBA2466;f__UBA2466;g__UBA2466;s__UBA2466 sp013205415	GCA_013205415.1	95.0	d__Bacteria;p__Bdellovibrionota;c__FAC87;o__UBA2466;f__UBA2466;g__UBA2466;s__UBA2466 sp013205415	98.84	0.807	GCA_013205415.1	95.0	d__Bacteria;p__Bdellovibrionota;c__FAC87;o__UBA2466;f__UBA2466;g__UBA2466;s__UBA2466 sp013205415	98.84	0.807	d__Bacteria;p__Bdellovibrionota;c__FAC87;o__UBA2466;f__UBA2466;g__UBA2466;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_009692515.1, s__UBA2466 sp009692515, 95.0, 92.99, 0.664	55.65	11	N/A	N/A
WM11_S6_MAGScoT_cleanbin_000033	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	N/A	N/A	N/A	N/A	N/A	GCA_018401645.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp018401645	89.68	0.355	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_903911165.1, s__Mycobacterium sp903911165, 95.0, 88.28, 0.155	55.01	11	0.99458	N/A
WM11_S6_MAGScoT_cleanbin_000034	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__LMDS01;s__	N/A	N/A	N/A	N/A	N/A	GCA_025359585.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__LMDS01;s__LMDS01 sp025359585	90.5	0.252	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__LMDS01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	52.33	11	0.9911	N/A
WM11_S6_MAGScoT_cleanbin_000035	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__CALMSM01;g__CALMSM01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__CALMSM01;g__CALMSM01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	51.04	11	0.87822	N/A
WM11_S6_MAGScoT_cleanbin_000036	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__SXXK01 sp003670925	GCA_003670925.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__SXXK01 sp003670925	97.36	0.776	GCA_003670925.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__SXXK01 sp003670925	97.36	0.776	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	50.29	11	N/A	N/A
WM11_S6_MAGScoT_cleanbin_000037	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__UBA969;s__UBA969 sp003671255	GCA_003671255.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__UBA969;s__UBA969 sp003671255	97.88	0.772	GCA_003671255.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__UBA969;s__UBA969 sp003671255	97.88	0.772	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__UBA969;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_937888715.1, s__UBA969 sp937888715, 95.0, 90.47, 0.528; GCA_903960945.1, s__UBA969 sp903960945, 95.0, 89.79, 0.413; GCA_945897965.1, s__UBA969 sp945897965, 95.0, 89.56, 0.454; GCA_002303765.1, s__UBA969 sp002303765, 95.0, 89.46, 0.424; GCA_026692965.1, s__UBA969 sp026692965, 95.0, 88.04, 0.304; GCA_009920765.1, s__UBA969 sp009920765, 95.0, 86.48, 0.197	47.81	11	N/A	N/A
WM11_S6_MAGScoT_cleanbin_000038	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata;s__Gemmata sp947490035	GCA_947490035.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata;s__Gemmata sp947490035	99.0	0.583	GCA_947490035.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata;s__Gemmata sp947490035	99.0	0.583	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	47.88	11	N/A	N/A
WM11_S6_MAGScoT_cleanbin_000039	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12;f__S36-B12;g__UBA10649;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12;f__S36-B12;g__UBA10649;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	43.02	11	0.95754	N/A
WM12_S7_MAGScoT_cleanbin_000001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Palsa-965;f__Palsa-965;g__GCA-2737665;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Palsa-965;f__Palsa-965;g__GCA-2737665;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.4	11	0.95663	N/A
WM12_S7_MAGScoT_cleanbin_000002	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__LD1;g__Bog-950;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__LD1;g__Bog-950;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.54	11	0.95376	N/A
WM12_S7_MAGScoT_cleanbin_000003	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__LD1;g__Bog-950;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__LD1;g__Bog-950;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.64	11	0.94143	N/A
WM12_S7_MAGScoT_cleanbin_000004	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__SHWZ01;g__CANHGM01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__SHWZ01;g__CANHGM01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	98.59	11	0.93682	N/A
WM12_S7_MAGScoT_cleanbin_000005	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	N/A	N/A	N/A	N/A	N/A	GCF_025938155.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp025938155	83.64	0.178	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_020179425.1, s__Novosphingobium percolationis, 95.0, 83.43, 0.18	97.06	11	0.98802	N/A
WM12_S7_MAGScoT_cleanbin_000006	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.49	11	0.96591	N/A
