Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
WM04_S4_MAGScoT_cleanbin_000023	98.61	9.12	Gradient Boost (General Model)	11	0.907	13665	342.07424006235385	5802184	0.43	5132	572	116669	None
WM04_S4_MAGScoT_cleanbin_000024	95.92	4.67	Gradient Boost (General Model)	11	0.933	12988	320.2744007670182	5360131	0.65	5215	577	81445	None
WM04_S4_MAGScoT_cleanbin_000025	91.03	2.67	Gradient Boost (General Model)	11	0.919	10159	300.00846859562455	4158095	0.69	4251	518	37530	None
WM04_S4_MAGScoT_cleanbin_000026	96.13	0.39	Gradient Boost (General Model)	11	0.941	21973	289.9515893846602	3161998	0.69	3429	229	74108	None
WM04_S4_MAGScoT_cleanbin_000027	98.97	1.55	Gradient Boost (General Model)	11	0.861	70890	355.09856262833677	6622136	0.6	5357	152	264202	None
WM04_S4_MAGScoT_cleanbin_000028	81.96	0.01	Gradient Boost (General Model)	11	0.927	229339	326.19868995633186	2892580	0.63	2748	36	590693	None
WM04_S4_MAGScoT_cleanbin_000029	98.59	4.05	Gradient Boost (General Model)	11	0.896	21174	322.66430324515954	3958021	0.39	3667	281	107502	None
WM04_S4_MAGScoT_cleanbin_000030	92.82	4.64	Neural Network (Specific Model)	11	0.893	13456	281.10733944954126	5137228	0.65	5450	502	102199	None
WM04_S4_MAGScoT_cleanbin_000031	99.89	2.1	Neural Network (Specific Model)	11	0.881	75370	376.34346712211783	7496232	0.61	5855	180	249397	None
WM04_S4_MAGScoT_cleanbin_000032	94.14	7.6	Gradient Boost (General Model)	11	0.923	22569	315.53839553839555	4772611	0.71	4662	296	133330	None
WM04_S4_MAGScoT_cleanbin_000033	92.83	4.28	Gradient Boost (General Model)	11	0.941	7717	276.453937007874	4465927	0.67	5080	690	44621	None
WM04_S4_MAGScoT_cleanbin_000034	100.0	2.14	Neural Network (Specific Model)	11	0.866	23137	338.3401516487392	6626181	0.54	5671	452	92441	None
WM04_S4_MAGScoT_cleanbin_000035	90.29	4.67	Gradient Boost (General Model)	11	0.933	11189	294.3038575667656	3180513	0.66	3370	376	43777	None
WM04_S4_MAGScoT_cleanbin_000036	95.54	2.69	Gradient Boost (General Model)	11	0.889	24401	360.7760502811776	3676292	0.52	3023	240	66545	None
WM04_S4_MAGScoT_cleanbin_000037	92.32	3.04	Gradient Boost (General Model)	11	0.947	10250	308.918911335578	3479682	0.67	3564	424	55048	None
WM04_S4_MAGScoT_cleanbin_000038	89.3	2.56	Gradient Boost (General Model)	11	0.918	7511	288.34232365145226	2266256	0.62	2410	356	29092	None
WM04_S4_MAGScoT_cleanbin_000039	94.08	5.08	Gradient Boost (General Model)	11	0.889	10247	329.80870020964363	4237543	0.67	3816	523	51075	None
WM04_S4_MAGScoT_cleanbin_000040	97.33	3.53	Gradient Boost (General Model)	11	0.826	11754	301.1844894026975	4525436	0.54	4152	505	61417	None
WM04_S4_MAGScoT_cleanbin_000041	89.17	2.68	Neural Network (Specific Model)	11	0.893	16078	320.57118005218905	3711723	0.45	3449	324	59528	None
WM04_S4_MAGScoT_cleanbin_000042	100.0	0.25	Gradient Boost (General Model)	11	0.921	495802	304.1474285714286	865401	0.46	875	7	495802	None
WM04_S4_MAGScoT_cleanbin_000043	100.0	8.16	Gradient Boost (General Model)	11	0.903	170310	356.82273603082854	4917585	0.41	4152	66	344828	None
WM04_S4_MAGScoT_cleanbin_000044	81.3	2.62	Gradient Boost (General Model)	11	0.927	8173	293.8384230982787	3419830	0.69	3602	507	28310	None
WM04_S4_MAGScoT_cleanbin_000045	70.75	4.27	Neural Network (Specific Model)	11	0.878	6206	256.6448619284744	3869936	0.61	4418	688	65545	None
WM04_S4_MAGScoT_cleanbin_000046	82.97	0.22	Gradient Boost (General Model)	11	0.92	7404	287.620288506282	2010848	0.63	2149	312	29804	None
WM04_S4_MAGScoT_cleanbin_000047	70.98	2.23	Neural Network (Specific Model)	11	0.947	7311	266.1128205128205	984069	0.4	1170	155	28417	None
WM04_S4_MAGScoT_cleanbin_000048	94.05	4.94	Gradient Boost (General Model)	11	0.901	11856	252.52536543422184	975973	0.42	1163	109	43195	None
WM04_S4_MAGScoT_cleanbin_000049	65.29	1.05	Neural Network (Specific Model)	11	0.865	6145	269.06281407035175	2596152	0.62	2786	483	27810	None
WM04_S4_MAGScoT_cleanbin_000050	88.15	0.0	Neural Network (Specific Model)	11	0.908	20523	269.8181818181818	860461	0.44	968	52	61045	None
WM04_S4_MAGScoT_cleanbin_000051	65.94	1.86	Neural Network (Specific Model)	11	0.947	5210	265.41775294847923	1351415	0.53	1611	269	31813	None
WM04_S4_MAGScoT_cleanbin_000052	70.23	2.88	Gradient Boost (General Model)	11	0.875	5941	308.48	5675405	0.62	5375	1027	35615	None
WM04_S4_MAGScoT_cleanbin_000053	77.46	0.47	Gradient Boost (General Model)	11	0.89	7083	323.67995728017087	6117871	0.61	5618	994	31185	None
WM04_S4_MAGScoT_cleanbin_000054	66.06	4.08	Gradient Boost (General Model)	11	0.892	4721	269.32214428857714	3608833	0.66	3992	782	28456	None
WM04_S4_MAGScoT_cleanbin_000055	66.47	2.02	Gradient Boost (General Model)	11	0.914	4871	305.65700082850043	2419317	0.43	2414	509	27139	None
WM04_S4_MAGScoT_cleanbin_000056	75.0	2.22	Neural Network (Specific Model)	11	0.878	5360	303.74267592872246	6854773	0.57	6622	1362	29693	None
WM04_S4_MAGScoT_cleanbin_000057	62.32	0.94	Neural Network (Specific Model)	11	0.901	5044	259.548712206047	2311029	0.67	2679	476	29477	None
WM04_S4_MAGScoT_cleanbin_000058	79.26	1.01	Gradient Boost (General Model)	11	0.893	7448	250.5047867711053	964211	0.54	1149	159	24748	None
WM04_S4_MAGScoT_cleanbin_000059	58.1	1.38	Neural Network (Specific Model)	11	0.906	4903	258.18495428096423	2051493	0.55	2406	434	21373	None
WM04_S4_MAGScoT_cleanbin_000060	61.0	0.51	Gradient Boost (General Model)	11	0.912	4618	278.9771380186283	4326123	0.59	4724	966	23917	None
WM04_S4_MAGScoT_cleanbin_000061	71.11	6.5	Neural Network (Specific Model)	11	0.942	5957	267.3932794026136	1365012	0.45	1607	245	21024	None
WM05_S5_MAGScoT_cleanbin_000001	100.0	1.23	Gradient Boost (General Model)	11	0.909	167551	377.9089539388722	5790961	0.43	4646	57	454583	None
WM05_S5_MAGScoT_cleanbin_000002	99.79	0.11	Gradient Boost (General Model)	11	0.892	449362	356.0972111553785	6002843	0.41	5020	58	1294899	None
WM05_S5_MAGScoT_cleanbin_000003	99.99	0.38	Neural Network (Specific Model)	11	0.911	77134	321.7238095238095	3999023	0.64	3780	77	287791	None
WM05_S5_MAGScoT_cleanbin_000004	100.0	0.08	Gradient Boost (General Model)	11	0.943	522033	350.63121063680893	3183422	0.36	2858	13	745427	None
WM05_S5_MAGScoT_cleanbin_000005	98.87	1.89	Gradient Boost (General Model)	11	0.889	123227	326.1314025849689	4589154	0.39	4178	96	250286	None
WM05_S5_MAGScoT_cleanbin_000006	99.02	0.12	Gradient Boost (General Model)	11	0.909	92535	356.1896044458974	3589300	0.34	3059	59	321991	None
WM05_S5_MAGScoT_cleanbin_000007	100.0	0.56	Gradient Boost (General Model)	11	0.91	70263	311.5226031884691	4698405	0.6	4579	113	256066	None
WM05_S5_MAGScoT_cleanbin_000008	100.0	2.09	Gradient Boost (General Model)	11	0.91	83776	341.56363636363636	4268212	0.4	3795	114	241392	None
WM05_S5_MAGScoT_cleanbin_000009	99.99	4.06	Neural Network (Specific Model)	11	0.904	47024	305.8805573988056	4583572	0.7	4521	162	197327	None
WM05_S5_MAGScoT_cleanbin_000010	98.78	2.68	Gradient Boost (General Model)	11	0.896	98832	338.91975180972076	5481297	0.45	4835	101	330616	None
WM05_S5_MAGScoT_cleanbin_000011	97.61	3.21	Gradient Boost (General Model)	11	0.902	23945	316.4084981068574	4991743	0.67	4754	322	69669	None
WM05_S5_MAGScoT_cleanbin_000012	100.0	4.7	Gradient Boost (General Model)	11	0.916	478825	376.6791703442189	5584318	0.39	4532	29	739659	None
WM05_S5_MAGScoT_cleanbin_000013	97.89	1.02	Gradient Boost (General Model)	11	0.902	25986	301.1184767277856	4255257	0.71	4254	231	80337	None
WM05_S5_MAGScoT_cleanbin_000014	100.0	2.11	Gradient Boost (General Model)	11	0.905	19824	289.19882005899706	3243381	0.65	3390	229	70326	None
WM05_S5_MAGScoT_cleanbin_000015	96.91	0.61	Gradient Boost (General Model)	11	0.89	35338	332.9704650188521	5356226	0.39	4774	214	157809	None
WM05_S5_MAGScoT_cleanbin_000016	95.46	2.25	Gradient Boost (General Model)	11	0.903	41879	341.037081627739	4701275	0.43	4153	186	128508	None
WM05_S5_MAGScoT_cleanbin_000017	98.81	4.63	Gradient Boost (General Model)	11	0.878	25424	277.66203598269186	4156698	0.58	4391	261	102782	None
WM05_S5_MAGScoT_cleanbin_000018	96.37	2.14	Gradient Boost (General Model)	11	0.918	299568	372.42689220183485	4239570	0.4	3488	29	829859	None
WM05_S5_MAGScoT_cleanbin_000019	100.0	2.68	Gradient Boost (General Model)	11	0.912	20146	297.9390189354406	6561736	0.65	6707	475	78149	None
WM05_S5_MAGScoT_cleanbin_000020	92.26	2.13	Gradient Boost (General Model)	11	0.932	10260	295.12797800855225	3104516	0.66	3274	391	56641	None
WM05_S5_MAGScoT_cleanbin_000021	90.24	1.92	Gradient Boost (General Model)	11	0.892	24474	325.50767045454546	3849091	0.45	3520	221	151044	None
WM05_S5_MAGScoT_cleanbin_000022	85.95	3.54	Neural Network (Specific Model)	11	0.89	9428	272.33428789614356	4799882	0.65	5238	627	84844	None
WM05_S5_MAGScoT_cleanbin_000023	94.49	3.41	Gradient Boost (General Model)	11	0.868	33945	337.65510646436314	9135213	0.58	7843	407	164545	None
WM05_S5_MAGScoT_cleanbin_000024	84.76	2.29	Neural Network (Specific Model)	11	0.866	8242	314.28842771720014	3086045	0.46	2843	452	48019	None
WM05_S5_MAGScoT_cleanbin_000025	87.3	0.57	Gradient Boost (General Model)	11	0.917	8196	286.0288898060256	2260710	0.62	2423	331	27063	None
WM05_S5_MAGScoT_cleanbin_000026	98.27	1.88	Neural Network (Specific Model)	11	0.881	28360	362.3043910521955	7432784	0.61	6035	405	118713	None
WM05_S5_MAGScoT_cleanbin_000027	86.15	9.0	Neural Network (Specific Model)	11	0.946	18603	304.6538675570395	1731379	0.46	1797	127	81137	None
WM05_S5_MAGScoT_cleanbin_000028	89.15	0.98	Neural Network (Specific Model)	11	0.872	28459	295.82800318217977	6388241	0.64	6285	316	160804	None
WM05_S5_MAGScoT_cleanbin_000029	99.97	0.84	Gradient Boost (General Model)	11	0.897	88911	290.88062827225133	926814	0.45	955	35	187691	None
WM05_S5_MAGScoT_cleanbin_000030	81.62	3.48	Gradient Boost (General Model)	11	0.89	6985	317.2	3750383	0.67	3515	614	35102	None
WM05_S5_MAGScoT_cleanbin_000031	80.36	9.05	Neural Network (Specific Model)	11	0.949	10061	289.62116830537883	1578467	0.46	1729	209	33001	None
WM05_S5_MAGScoT_cleanbin_000032	80.76	6.55	Neural Network (Specific Model)	11	0.879	7363	265.8342882327016	4110860	0.61	4538	641	46462	None
WM05_S5_MAGScoT_cleanbin_000033	75.57	3.28	Gradient Boost (General Model)	11	0.949	8307	277.19417475728153	990662	0.42	1133	143	30108	None
WM05_S5_MAGScoT_cleanbin_000034	74.99	2.71	Neural Network (Specific Model)	11	0.913	7253	308.9931120851597	3236691	0.42	3194	528	29425	None
WM05_S5_MAGScoT_cleanbin_000035	98.16	0.5	Gradient Boost (General Model)	11	0.9	372323	293.59284497444634	1146199	0.54	1174	8	430351	None
WM05_S5_MAGScoT_cleanbin_000036	86.0	1.63	Gradient Boost (General Model)	11	0.896	11274	298.6159143075746	1304130	0.4	1307	156	26634	None
WM05_S5_MAGScoT_cleanbin_000037	80.24	0.93	Neural Network (Specific Model)	11	0.952	13370	293.7692307692308	1415902	0.46	1534	144	44967	None
WM05_S5_MAGScoT_cleanbin_000038	77.81	1.41	Gradient Boost (General Model)	11	0.901	6484	302.87981330221703	3450276	0.41	3428	602	26667	None
WM05_S5_MAGScoT_cleanbin_000039	72.15	3.3	Gradient Boost (General Model)	11	0.866	5009	290.7465437788018	4575287	0.54	4557	958	21258	None
WM05_S5_MAGScoT_cleanbin_000040	72.91	1.6	Gradient Boost (General Model)	11	0.918	5748	268.74006545114537	1874028	0.68	2139	355	18929	None
WM05_S5_MAGScoT_cleanbin_000041	61.92	1.35	Neural Network (Specific Model)	11	0.95	7142	265.0453141091658	811011	0.4	971	138	16686	None
WM05_S5_MAGScoT_cleanbin_000042	62.27	0.51	Gradient Boost (General Model)	11	0.926	4316	257.8805738658395	2150382	0.67	2579	503	14324	None
WM05_S5_MAGScoT_cleanbin_000043	57.75	0.39	Gradient Boost (General Model)	11	0.928	4454	274.2307692307692	3276761	0.65	3705	756	16182	None
WM05_S5_MAGScoT_cleanbin_000044	61.55	1.77	Gradient Boost (General Model)	11	0.928	5205	262.2176487172258	2995107	0.39	3547	607	22038	None
WM05_S5_MAGScoT_cleanbin_000045	69.96	0.55	Gradient Boost (General Model)	11	0.921	4951	282.9014945652174	1352216	0.45	1472	286	17657	None
WM05_S5_MAGScoT_cleanbin_000046	55.53	1.51	Gradient Boost (General Model)	11	0.91	4657	283.47605385124695	4227909	0.59	4531	939	16985	None
WM05_S5_MAGScoT_cleanbin_000047	61.01	2.8	Neural Network (Specific Model)	11	0.9	5075	293.92713178294576	3784776	0.41	3870	779	18900	None
WM11_S6_MAGScoT_cleanbin_000001	100.0	2.15	Gradient Boost (General Model)	11	0.914	71599	345.64641327623127	4233026	0.4	3736	115	174882	None
WM11_S6_MAGScoT_cleanbin_000002	100.0	0.58	Gradient Boost (General Model)	11	0.917	364232	377.38142429131136	5353318	0.39	4339	35	639320	None
WM11_S6_MAGScoT_cleanbin_000003	99.82	3.29	Gradient Boost (General Model)	11	0.892	402608	357.608261550509	6134180	0.4	5108	62	761038	None
WM11_S6_MAGScoT_cleanbin_000004	100.0	0.75	Neural Network (Specific Model)	11	0.911	91936	317.90950455005054	4133710	0.64	3956	94	254390	None
WM11_S6_MAGScoT_cleanbin_000005	99.46	2.69	Gradient Boost (General Model)	11	0.895	92327	336.9797514033681	5624062	0.45	4988	102	324716	None
WM11_S6_MAGScoT_cleanbin_000006	99.66	0.39	Gradient Boost (General Model)	11	0.944	48546	349.7766101694915	3275328	0.37	2950	128	176744	None
WM11_S6_MAGScoT_cleanbin_000007	99.79	0.08	Gradient Boost (General Model)	11	0.909	58691	359.5003453038674	3431057	0.34	2896	84	192905	None
WM11_S6_MAGScoT_cleanbin_000008	100.0	0.9	Gradient Boost (General Model)	11	0.908	110932	371.336	5823346	0.43	4750	115	350952	None
WM11_S6_MAGScoT_cleanbin_000009	100.0	2.76	Neural Network (Specific Model)	11	0.905	45893	308.0416006339144	5147885	0.69	5048	169	149600	None
WM11_S6_MAGScoT_cleanbin_000010	99.27	3.53	Neural Network (Specific Model)	11	0.915	30029	353.2543813064259	4357722	0.4	3766	221	184122	None
WM11_S6_MAGScoT_cleanbin_000011	95.88	2.95	Gradient Boost (General Model)	11	0.893	33070	330.43250289687137	3828731	0.45	3452	179	147329	None
WM11_S6_MAGScoT_cleanbin_000012	91.18	3.7	Neural Network (Specific Model)	11	0.912	14878	330.3201592266136	3814734	0.42	3517	351	42856	None
WM11_S6_MAGScoT_cleanbin_000013	93.87	4.78	Gradient Boost (General Model)	11	0.9	13890	287.92288271746617	4173350	0.71	4357	403	58856	None
WM11_S6_MAGScoT_cleanbin_000014	97.55	2.2	Gradient Boost (General Model)	11	0.89	121571	334.81114385212965	4206824	0.39	3733	108	236712	None
WM11_S6_MAGScoT_cleanbin_000015	100.0	2.1	Gradient Boost (General Model)	11	0.913	26008	301.4678624813154	6614669	0.66	6690	392	107198	None
WM11_S6_MAGScoT_cleanbin_000016	96.29	2.08	Gradient Boost (General Model)	11	0.909	44568	305.2682033606204	4672623	0.6	4642	180	145876	None
WM11_S6_MAGScoT_cleanbin_000017	98.59	3.12	Neural Network (Specific Model)	11	0.915	19561	324.4289071680376	5418580	0.65	5106	389	88439	None
WM11_S6_MAGScoT_cleanbin_000018	99.78	5.22	Neural Network (Specific Model)	11	0.947	32292	303.40918803418805	1794847	0.46	1872	100	76079	None
WM11_S6_MAGScoT_cleanbin_000019	96.24	2.97	Gradient Boost (General Model)	11	0.925	13457	325.6568411790585	4797003	0.34	4546	475	54806	None
WM11_S6_MAGScoT_cleanbin_000020	100.0	10.31	Neural Network (Specific Model)	11	0.865	34876	294.6961462450593	8261385	0.63	8096	367	156162	None
WM11_S6_MAGScoT_cleanbin_000021	100.0	2.82	Gradient Boost (General Model)	11	0.919	11736	311.85833333333335	1825333	0.45	1800	198	29292	None
WM11_S6_MAGScoT_cleanbin_000022	100.0	1.14	Gradient Boost (General Model)	11	0.917	250338	300.5626450116009	845793	0.45	862	8	253943	None
WM11_S6_MAGScoT_cleanbin_000023	87.51	1.9	Neural Network (Specific Model)	11	0.855	35086	294.2201726180403	6091152	0.63	5909	290	106135	None
WM11_S6_MAGScoT_cleanbin_000024	62.1	1.61	Neural Network (Specific Model)	11	0.946	5579	264.81318016928657	1384955	0.53	1654	274	15346	None
WM11_S6_MAGScoT_cleanbin_000025	84.74	2.78	Gradient Boost (General Model)	11	0.941	6127	282.406008583691	3137647	0.65	3495	556	57404	None
WM11_S6_MAGScoT_cleanbin_000026	95.82	0.38	Gradient Boost (General Model)	11	0.915	31886	265.60450160771705	810392	0.53	933	42	63639	None
WM11_S6_MAGScoT_cleanbin_000027	98.15	3.8	Gradient Boost (General Model)	11	0.899	137363	290.92440427280195	1178729	0.54	1217	9	366429	None
WM11_S6_MAGScoT_cleanbin_000028	61.05	0.69	Neural Network (Specific Model)	11	0.907	4388	224.06190476190477	775673	0.32	1050	177	14436	None
WM11_S6_MAGScoT_cleanbin_000029	76.22	2.97	Neural Network (Specific Model)	11	0.897	6472	259.84449404761904	3497479	0.69	4032	610	25215	None
WM11_S6_MAGScoT_cleanbin_000030	60.18	3.24	Neural Network (Specific Model)	11	0.944	4900	253.95731707317074	792569	0.42	984	165	14864	None
WM11_S6_MAGScoT_cleanbin_000031	63.73	1.79	Gradient Boost (General Model)	11	0.864	5039	315.7903865213082	2207347	0.42	2018	466	21962	None
WM11_S6_MAGScoT_cleanbin_000032	56.52	0.45	Gradient Boost (General Model)	11	0.908	4296	256.51776354106	1450039	0.41	1717	346	13063	None
WM11_S6_MAGScoT_cleanbin_000033	65.46	2.5	Gradient Boost (General Model)	11	0.927	5236	270.901252236136	2445264	0.66	2795	498	25191	None
WM11_S6_MAGScoT_cleanbin_000034	63.91	2.16	Gradient Boost (General Model)	11	0.917	4643	256.984022318032	3308857	0.66	3943	721	31078	None
WM11_S6_MAGScoT_cleanbin_000035	60.34	3.63	Gradient Boost (General Model)	11	0.894	4615	237.50537634408602	591402	0.43	744	130	16876	None
WM11_S6_MAGScoT_cleanbin_000036	61.79	1.38	Gradient Boost (General Model)	11	0.869	4196	283.1087932400317	3691109	0.53	3787	897	16998	None
WM11_S6_MAGScoT_cleanbin_000037	75.07	3.07	Gradient Boost (General Model)	11	0.913	4632	300.26831275720167	2393727	0.43	2430	520	39669	None
WM11_S6_MAGScoT_cleanbin_000038	54.06	0.23	Gradient Boost (General Model)	11	0.873	4102	278.4725835246111	3747136	0.65	3921	899	22881	None
WM11_S6_MAGScoT_cleanbin_000039	52.39	1.25	Gradient Boost (General Model)	11	0.934	4967	253.72857142857143	2217611	0.66	2730	466	30771	None
WM12_S7_MAGScoT_cleanbin_000001	100.0	1.9	Neural Network (Specific Model)	11	0.916	244314	370.0204081632653	4509721	0.4	3724	40	494567	None
WM12_S7_MAGScoT_cleanbin_000002	100.0	1.25	Gradient Boost (General Model)	11	0.907	184565	375.36219486751514	5941232	0.43	4793	70	437116	None
WM12_S7_MAGScoT_cleanbin_000003	100.0	2.19	Gradient Boost (General Model)	11	0.91	76803	341.21800947867297	4266961	0.4	3798	117	180268	None
WM12_S7_MAGScoT_cleanbin_000004	99.98	0.21	Neural Network (Specific Model)	11	0.92	182954	358.20580474934036	3978913	0.36	3411	33	512548	None
WM12_S7_MAGScoT_cleanbin_000005	100.0	4.1	Neural Network (Specific Model)	11	0.909	107540	321.0586053412463	4278732	0.64	4044	72	396634	None
WM12_S7_MAGScoT_cleanbin_000006	100.0	1.02	Gradient Boost (General Model)	11	0.916	444969	377.43122847301953	5377645	0.39	4355	29	820218	None
WM12_S7_MAGScoT_cleanbin_000007	98.64	3.19	Gradient Boost (General Model)	11	0.89	85022	329.7221960414703	4711770	0.39	4244	178	227994	None
WM12_S7_MAGScoT_cleanbin_000008	97.99	0.12	Gradient Boost (General Model)	11	0.86	19904	356.14104660670483	3032782	0.41	2446	211	75695	None
WM12_S7_MAGScoT_cleanbin_000009	99.78	2.48	Gradient Boost (General Model)	11	0.891	456658	358.56448076539766	6051085	0.41	5017	61	803600	None
WM12_S7_MAGScoT_cleanbin_000010	98.05	0.81	Gradient Boost (General Model)	11	0.91	42053	368.99928031666064	3375883	0.33	2779	125	128750	None
WM12_S7_MAGScoT_cleanbin_000011	99.62	4.9	Gradient Boost (General Model)	11	0.908	122816	314.40452647769723	4721868	0.6	4551	56	369281	None
WM12_S7_MAGScoT_cleanbin_000012	99.94	1.6	Neural Network (Specific Model)	11	0.927	132276	345.36572438162545	5053164	0.35	4528	76	288073	None
WM12_S7_MAGScoT_cleanbin_000013	100.0	3.77	Neural Network (Specific Model)	11	0.92	82785	363.8130489335006	4721167	0.36	3985	97	406366	None
WM12_S7_MAGScoT_cleanbin_000014	98.9	4.54	Gradient Boost (General Model)	11	0.901	16477	311.860364087712	5009244	0.66	4834	469	57636	None
WM12_S7_MAGScoT_cleanbin_000015	100.0	0.94	Gradient Boost (General Model)	11	0.904	36126	295.6571110492625	3518512	0.64	3593	150	141239	None
WM12_S7_MAGScoT_cleanbin_000016	99.74	2.58	Gradient Boost (General Model)	11	0.913	61824	310.4591349853779	6617468	0.66	6497	183	182255	None
WM12_S7_MAGScoT_cleanbin_000017	96.85	1.52	Gradient Boost (General Model)	11	0.895	159232	338.03304277316033	5584558	0.44	4933	78	459090	None
WM12_S7_MAGScoT_cleanbin_000018	99.09	6.3	Gradient Boost (General Model)	11	0.939	175844	356.88937020993	3416976	0.37	3001	48	293801	None
WM12_S7_MAGScoT_cleanbin_000019	99.97	2.72	Gradient Boost (General Model)	11	0.938	149718	315.463106113844	4294963	0.39	4269	56	435591	None
WM12_S7_MAGScoT_cleanbin_000020	93.29	0.12	Neural Network (Specific Model)	11	0.918	28967	326.1686541737649	2499048	0.32	2348	150	84330	None
WM12_S7_MAGScoT_cleanbin_000021	99.9	11.01	Neural Network (Specific Model)	11	0.865	42685	295.3319191415024	8195299	0.63	8014	312	186772	None
WM12_S7_MAGScoT_cleanbin_000022	96.31	1.37	Gradient Boost (General Model)	11	0.951	62737	350.05808080808083	3924011	0.66	3564	85	208710	None
WM12_S7_MAGScoT_cleanbin_000023	88.3	0.89	Gradient Boost (General Model)	11	0.914	9056	329.8021557719054	3108757	0.34	2876	413	39251	None
WM12_S7_MAGScoT_cleanbin_000024	90.39	4.56	Gradient Boost (General Model)	11	0.913	9198	265.518875192604	4515405	0.58	5192	597	56671	None
WM12_S7_MAGScoT_cleanbin_000025	93.79	3.86	Gradient Boost (General Model)	11	0.901	12234	285.88655278142795	4341326	0.7	4566	456	53365	None
WM12_S7_MAGScoT_cleanbin_000026	95.13	3.11	Gradient Boost (General Model)	11	0.892	29042	328.0740846681922	3851062	0.45	3496	201	80109	None
WM12_S7_MAGScoT_cleanbin_000027	99.84	0.02	Neural Network (Specific Model)	11	0.895	36171	243.01387054161162	1230586	0.31	1514	58	94168	None
WM12_S7_MAGScoT_cleanbin_000028	90.58	4.61	Gradient Boost (General Model)	11	0.904	12264	286.74498111707413	4781213	0.69	5031	515	52937	None
WM12_S7_MAGScoT_cleanbin_000029	86.77	0.89	Gradient Boost (General Model)	11	0.893	8811	280.06754032258067	2795174	0.64	2976	400	27613	None
WM12_S7_MAGScoT_cleanbin_000030	86.16	2.23	Gradient Boost (General Model)	11	0.951	15811	347.28767123287673	3350486	0.55	3066	293	63412	None
WM12_S7_MAGScoT_cleanbin_000031	81.1	3.0	Neural Network (Specific Model)	11	0.917	8189	297.2411707789066	4009839	0.65	4134	594	36322	None
WM12_S7_MAGScoT_cleanbin_000032	87.27	5.92	Neural Network (Specific Model)	11	0.948	11075	279.10837438423647	1073984	0.42	1218	129	33755	None
WM12_S7_MAGScoT_cleanbin_000033	87.44	6.69	Neural Network (Specific Model)	11	0.879	10791	272.97546391752576	4512921	0.61	4850	529	60794	None
WM12_S7_MAGScoT_cleanbin_000034	81.74	3.82	Gradient Boost (General Model)	11	0.932	6563	281.2768917543264	2662054	0.66	2947	453	38357	None
WM12_S7_MAGScoT_cleanbin_000035	100.0	0.07	Gradient Boost (General Model)	11	0.921	214354	299.1261574074074	840505	0.45	864	12	241627	None
WM12_S7_MAGScoT_cleanbin_000036	86.45	3.89	Gradient Boost (General Model)	11	0.914	8509	314.90534487906837	3454000	0.42	3349	489	32328	None
WM12_S7_MAGScoT_cleanbin_000037	75.49	1.23	Gradient Boost (General Model)	11	0.938	8056	265.4268613138686	2899612	0.66	3425	442	39398	None
WM12_S7_MAGScoT_cleanbin_000038	100.0	0.04	Gradient Boost (General Model)	11	0.916	179351	277.1906825568797	836271	0.53	923	9	360538	None
WM12_S7_MAGScoT_cleanbin_000039	77.64	1.43	Gradient Boost (General Model)	11	0.914	5890	275.97616060225846	3602138	0.7	3985	652	28410	None
WM12_S7_MAGScoT_cleanbin_000040	99.98	0.02	Gradient Boost (General Model)	11	0.902	289834	294.20448662640206	1131836	0.54	1159	6	343678	None
WM12_S7_MAGScoT_cleanbin_000041	74.96	4.41	Gradient Boost (General Model)	11	0.901	6962	272.3798492883059	3243553	0.6	3583	536	47940	None
WM12_S7_MAGScoT_cleanbin_000042	76.69	3.04	Gradient Boost (General Model)	11	0.922	6181	292.430843618781	7455692	0.58	7859	1333	48365	None
WM12_S7_MAGScoT_cleanbin_000043	72.77	0.96	Gradient Boost (General Model)	11	0.89	7392	329.4697686645636	4216902	0.65	3804	662	35907	None
WM12_S7_MAGScoT_cleanbin_000044	100.0	0.63	Gradient Boost (General Model)	11	0.879	153008	287.60578034682084	847976	0.41	865	15	289049	None
WM12_S7_MAGScoT_cleanbin_000045	72.24	2.43	Neural Network (Specific Model)	11	0.897	6651	259.82624295233217	3383112	0.65	3902	559	33812	None
WM12_S7_MAGScoT_cleanbin_000046	73.22	2.68	Neural Network (Specific Model)	11	0.841	6034	247.78911118399475	2686706	0.52	3049	480	29485	None
WM12_S7_MAGScoT_cleanbin_000047	82.51	6.37	Gradient Boost (General Model)	11	0.935	5749	264.01542529748787	3836466	0.67	4538	709	50689	None
WM12_S7_MAGScoT_cleanbin_000048	69.54	2.43	Gradient Boost (General Model)	11	0.926	6311	320.4782507559898	4454435	0.59	4299	779	29671	None
WM12_S7_MAGScoT_cleanbin_000049	76.14	2.58	Neural Network (Specific Model)	11	0.942	6525	272.8581081081081	1411612	0.46	1628	237	39052	None
WM12_S7_MAGScoT_cleanbin_000050	87.62	2.42	Gradient Boost (General Model)	11	0.907	6986	257.10664479081214	1034023	0.52	1219	161	30687	None
WM13_S8_MAGScoT_cleanbin_000001	100.0	0.6	Gradient Boost (General Model)	11	0.917	370127	378.6567405355494	5363826	0.39	4332	23	655624	None
